id	GSM1248759_con	GSM1248760_con	GSM1248761_con	GSM1248762_con	GSM1248763_con	GSM1248764_con	GSM1248765_con	GSM1248766_con	GSM1248767_con	GSM1248768_con	GSM2627518_con	GSM2627519_con	GSM2627520_con	GSM2627521_con	GSM2627522_con	GSM2627523_con	GSM2627524_con	GSM2627525_con	GSM2627526_con	GSM2627527_con	GSM2627528_con	GSM2627529_con	GSM1248769_treat	GSM1248770_treat	GSM1248771_treat	GSM1248772_treat	GSM1248773_treat	GSM1248774_treat	GSM1248775_treat	GSM1248776_treat	GSM1248777_treat	GSM1248778_treat	GSM1248779_treat	GSM1248780_treat	GSM1248781_treat	GSM1248782_treat	GSM1248783_treat	GSM1248784_treat	GSM1248785_treat	GSM1248786_treat	GSM1248787_treat	GSM1248788_treat	GSM1248789_treat	GSM1248790_treat	GSM1248791_treat	GSM1248792_treat	GSM1248793_treat	GSM1248794_treat	GSM1248795_treat	GSM1248796_treat	GSM1248797_treat	GSM1248798_treat	GSM1248799_treat	GSM1248800_treat	GSM1248801_treat	GSM1248802_treat	GSM1248803_treat	GSM1248804_treat	GSM1248805_treat	GSM1248806_treat	GSM1248807_treat	GSM1248808_treat	GSM2627530_treat	GSM2627531_treat	GSM2627532_treat	GSM2627533_treat	GSM2627534_treat	GSM2627535_treat	GSM2627536_treat	GSM2627537_treat	GSM2627538_treat	GSM2627539_treat	GSM2627540_treat	GSM2627541_treat
FOXS1	0.42531121	0.765417813	2.25657641	0.21072647	1.68934709	-0.426671561	-0.211852209	1.93674107	2.5119674737	1.7401975665	3.106099532	3.48651312	3.16817648	3.6668783	2.98560725	2.47403832	2.23340941	2.89827	2.18506204	3.0525569	3.803039598	2.22925212	3.80650457	3.56493606	2.70749638	4.12713817	3.46461638	3.009708763	4.6301402566	3.42742207	3.719366452	4.054252331	3.66419932	3.36714771	2.828200198	2.39600169	3.2670678	3.14201632	3.85130242	3.40842052	3.02985568	3.015543967	4.68683108	4.42451957	4.324043101	3.72720085	3.649917854	3.516411584	3.21421262	3.709669315	4.72867032	3.58279959	3.271285439	3.87279514	3.99221102	3.97322993	3.214333764	4.26907774	4.42387782	4.565880086	4.4448001118	4.06327211	3.5222049	3.89667503	4.19737216	2.86291468	3.2230051	3.17580074	3.6312114	3.43878963	3.66065848	2.6902395	3.96385922	2.42587089
SLC7A5	4.71987659	4.564005245	4.61327253	4.59056114	3.6082227	4.609037064	4.775966625	4.54695967	4.5640052448	3.5418976984	4.125758352	3.97314836	3.29165362	2.98134458	3.69496712	2.95288532	3.20709396	2.745434	2.92870825	3.7651515	3.031266061	3.10652576	2.68852848	2.71688055	1.80088727	1.86533457	2.42536781	3.728511979	1.4645016408	4.26151612	1.860704951	2.285082165	1.92660899	2.47190482	2.586040076	2.560128564	1.90370712	2.99494268	3.12374507	2.216373318	2.11587656	2.329112051	3.19121921	3.48697886	2.270223391	2.5715445	3.263508607	3.310716692	2.592461408	2.190648616	2.65089105	3.20408111	2.682160014	3.04216279	3.39067408	2.90085351	2.734461845	2.84347743	2.56532459	2.739623069	3.6635207195	3.19227986	2.2020435	2.7983654	2.65823159	3.17669807	3.6181742	3.32527509	2.50733878	2.66098821	3.0370214	3.00623102	1.72409432	2.18195787
CX3CR1	0.7607886	-0.283252668	2.60727737	1.91452832	1.67323566	0.45871835	0.523783295	2.06098224	2.0441732152	1.6223727754	1.733049138	2.55918476	2.75847291	2.42104692	0.33064654	3.93568455	1.71584855	1.314063	2.02285804	2.4786863	1.726234513	4.81802163	3.76765653	4.49865836	4.33321626	4.37124419	3.9850184	2.831416705	3.8283015363	3.9512151	4.022338266	3.334908607	3.50449147	3.26965586	3.454879845	3.27492831	3.69943753	4.58108127	4.35929595	3.790353461	4.83069682	4.276411268	2.74182301	3.19123623	3.491305716	2.70676743	2.420004706	1.512344367	3.242602694	3.285721724	3.54081111	2.89672442	2.216485803	2.3785135	1.56467751	3.21421449	3.11489981	2.71754174	3.003246434	3.578116442	2.3169857885	2.9467949	3.4391589	3.34658464	3.11225356	2.99224599	4.2906961	4.71463654	3.7933989	3.93259276	3.40563265	2.90562245	3.32610739	3.28743961
CXCL14	2.36014444	2.141048459	3.55369485	1.24352782	1.73466723	2.782457943	1.95025279	2.28214179	1.5938666365	1.629371735	2.505514541	3.19530173	2.38958212	2.93855013	2.49675597	2.80225139	2.39723506	2.464294	2.92210793	2.6304152	3.018260276	2.77127158	2.65560055	3.83793223	5.3862742	4.23838461	3.44881038	4.614797504	4.4582342941	2.58089049	3.805841427	2.428609868	3.19337416	3.79596598	1.922873744	4.587112392	3.28548001	4.22475612	2.80379757	3.164412093	3.42057699	3.252743713	2.41407501	3.77904526	3.577722255	3.46008826	4.226609695	2.6919223	3.305160214	3.784708817	4.21276785	4.14088364	1.569822015	3.84511861	3.3971921	4.19109058	3.949264559	5.13050447	2.647563266	3.369516645	4.1761994352	4.38081914	3.8570841	3.24852237	3.99916417	2.72485875	4.0188346	4.36794189	3.9628042	4.69962754	3.22172571	4.09742232	3.2093477	4.82143499
FPR1	6.7347441	6.846359378	5.65915676	6.23332109	5.86356615	6.866505901	7.066379151	5.75057762	6.0618855732	5.6912081121	5.580598516	4.18878864	5.25746603	6.74290304	3.89723911	4.60279542	4.26363523	4.39233	3.84658871	4.7681916	3.957908453	4.51119153	3.84770781	5.06430765	4.06867522	3.99273708	4.85917565	3.936399961	3.6560256105	5.06535191	3.685719179	3.838529939	3.3189978	3.88937514	4.702623435	5.237359223	3.96241026	5.47537143	3.01498382	4.306177622	4.25150313	3.75823574	3.36357879	4.6829662	4.080196195	4.36444659	3.698858615	2.6936033	4.30946389	2.918252838	2.554846	4.5443983	3.355978544	3.5935554	4.65695396	5.30621262	3.984195822	3.68205054	3.091614133	2.761147924	3.5844846429	4.50478753	4.2047925	3.64804715	4.00326084	4.69155534	4.396692	4.39848718	4.5992886	4.51268832	4.3072011	4.60961673	2.68573466	4.41757012
IL1R2	6.54415477	6.383839571	3.72730851	4.72187555	5.28853413	6.383839571	6.697738986	3.70794685	4.4188495384	5.1174374097	3.557927558	3.0712356	3.4538375	3.21842906	2.83575062	4.18235652	3.58948931	2.461402	1.42303107	2.696247	2.560250646	2.45297376	2.70078382	2.92560949	3.08592117	1.82792037	3.08328332	2.953503165	2.122775416	3.18056663	2.178751818	2.243702244	1.87244931	2.25547862	2.243394532	1.430197287	2.16918162	2.76808568	2.45413103	2.338502149	2.85571054	2.257503285	2.42457037	2.55114297	2.633391184	2.06346491	2.651690981	2.624418272	2.761734904	1.964112673	1.23555212	2.96679932	1.787909259	2.61673957	2.34047355	2.13046348	2.516878624	1.79393897	2.791703784	2.181041773	1.9671017957	1.67519145	3.6814793	3.77993356	2.69255639	1.6486839	2.4887387	3.70756903	2.71136186	3.4821698	2.93872363	3.67846175	1.98243729	2.10490332
COL22A1	0.03476908	1.510290602	2.39384253	4.08831108	1.37116128	2.244753446	1.016329438	2.92180998	4.0505565133	1.5102906025	3.139227067	2.01447814	3.27829651	3.21290128	2.00716102	2.16434857	3.19124169	2.490393	2.36067241	3.1167261	3.093443826	2.31453073	5.18259611	3.08358501	3.60375425	3.51327456	3.72532841	3.641972598	1.7770100476	4.01088164	3.45991	3.822391896	2.70378567	2.34069807	4.733545763	2.527828216	2.98991464	2.28468843	3.45942874	1.89610394	4.08271592	3.903760714	3.92768715	3.82703066	3.644131683	4.27724726	4.810806886	4.339892297	3.893887701	4.007545658	4.5954422	3.66487101	5.439762161	4.2469709	4.51062183	3.61543422	4.841859373	3.23958673	4.173376449	4.638185879	4.2887524404	3.35350454	5.726073	4.20107829	3.46650736	3.84391717	3.3779284	3.55355461	4.60552066	4.57129445	2.84017482	4.0927138	5.1143094	4.06200865
PRRT4	3.23250531	3.6090153	3.45800148	3.67175483	4.39783869	3.357938425	3.52665729	3.57992176	3.857680321	4.2475900863	1.489398381	3.00336191	3.00866173	1.35994435	3.70697873	0.47471359	2.8047419	2.246782	3.6668393	2.9474807	3.349833332	3.17103562	2.42867947	1.96251376	1.70988851	4.00409348	1.71602055	1.539508069	2.8483475437	3.57992176	2.326648212	1.502434087	2.16609743	2.06885492	1.485632466	1.633199297	1.96409751	3.23596377	0.95216225	2.301865502	2.60516021	3.315628315	0.7327603	1.23562261	0.897379186	0.62092485	1.398481309	0.663025682	1.662432949	2.340807609	0.62459575	1.20346359	1.296327841	0.52571365	1.23038996	1.54424738	2.270208688	1.42386046	0.525713655	1.05943515	0.6245957521	2.13358855	2.0925931	1.23245854	2.27890941	2.86842331	1.6557195	1.77728409	1.57809812	0.26378225	1.41630544	0.63592439	0.85013115	2.70806495
TLR7	0.67064808	1.01947732	2.68951767	2.29655059	3.39141037	0.910721069	0.576324758	2.18971389	2.110294395	3.4408653324	3.106038492	3.12629293	3.92429606	3.55694297	2.58315409	2.3874399	3.26382954	2.356822	2.7608427	3.1734392	2.018797187	2.16251046	3.65093918	4.85219252	3.28703934	4.42822774	3.36547326	3.337232298	4.1692533277	3.25201811	3.348909443	2.869422431	3.52083953	3.63224284	3.471279263	4.038866031	3.55790697	4.15704104	3.44443456	4.201472662	4.30528198	4.240061118	3.26626101	3.80974934	3.453348813	3.54960591	3.545502587	2.812153283	2.882173464	3.091570668	3.39015507	4.21926597	2.70213142	3.43776674	2.151698	4.287954	3.405823218	3.19537253	3.576635426	3.651330918	3.1483805795	3.21735965	2.8223216	4.44493462	2.62537532	3.13950285	3.4603494	3.86077963	4.13277818	4.49498934	2.39878091	3.98601522	3.26481852	4.10347824
MYOM3	2.58862078	2.500783541	0.89004744	1.49507253	2.16719105	2.19030647	3.059819727	0.64479495	2.7098690013	2.7844348173	2.644111055	1.48379832	2.94911208	3.69361239	1.78475753	2.13647457	3.18644704	3.104583	2.67404518	3.0223435	3.598581427	2.63004241	2.9164737	2.95408012	2.95925703	3.00503251	2.49808883	2.977479605	2.694566554	3.23248678	3.512404928	3.814585688	3.28951928	3.24560712	2.671583576	2.525491225	3.26685259	2.76216376	3.17478015	3.380715817	2.6860553	2.92677167	4.72413237	4.45125707	3.928456685	3.51556845	3.657878076	4.457595453	4.117775812	3.525643249	4.19413112	3.79808744	2.869842282	3.74191218	3.48536533	3.45334213	3.168602047	3.61014844	4.605221755	4.042925741	4.6470339006	3.54582294	3.6030646	4.73758668	3.6707317	4.22764178	2.7715832	3.12575953	3.68549171	3.60776359	3.81258565	3.37387859	3.68566335	2.93084961
